SEASON_ID,Player_ID,Game_ID,GAME_DATE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,OPP,HOME,Block_Stat,OPP_RA_FGA,MIN_EMA_5,BLK_EMA_5,OPP_PACE,BLK_RATE_EMA_10,FGA_EMA_5,REB_EMA_5,PF_EMA_5,STL_EMA_5,TOV_EMA_5,BLK_EMA_x_RA_FGA,MIN_EMA_x_RA_FGA,BLK_RATE_x_RA_FGA,MIN_EMA_x_PACE
42022,1626157,0042200141,2023-04-16,30,5,15,0.333,1,7,0.143,0,2,0.0,1,9,10,2,0,0,4,2,11,-11,1,2022-23,Playoffs,DEN,0,0,22.6,,,95.18,,,,,,,,,,
42022,1626157,0042200142,2023-04-19,34,3,12,0.25,2,5,0.4,2,2,1.0,1,11,12,2,0,1,5,5,10,-9,1,2022-23,Playoffs,DEN,0,1,22.6,30.0,0.0,95.18,0.0,15.0,10.0,2.0,0.0,4.0,0.0,678.0,0.0,2855.4
42022,1626157,0042200143,2023-04-21,42,10,17,0.588,2,4,0.5,5,5,1.0,1,6,7,1,1,1,4,2,27,-10,1,2022-23,Playoffs,DEN,1,1,22.6,31.333333333333336,0.3333333333333333,95.18,0.18181818181818182,14.000000000000002,10.666666666666668,3.0,0.0,4.333333333333334,7.533333333333333,708.1333333333334,4.109090909090909,2982.3066666666673
42022,1626157,0042200144,2023-04-23,36,5,9,0.556,0,2,0.0,7,10,0.7,2,9,11,2,1,1,2,6,17,-7,1,2022-23,Playoffs,DEN,1,1,22.6,34.88888888888889,0.5555555555555556,95.18,0.3305785123966942,15.000000000000002,9.444444444444446,2.666666666666667,0.3333333333333333,4.222222222222223,12.555555555555557,788.488888888889,7.47107438016529,3320.724444444445
42022,1626157,0042200145,2023-04-25,38,9,17,0.529,1,6,0.167,7,9,0.778,1,10,11,3,1,1,3,6,26,-9,1,2022-23,Playoffs,DEN,0,1,22.6,35.25925925925927,0.7037037037037037,95.18,0.4522915101427498,13.000000000000002,9.962962962962965,3.777777777777778,0.5555555555555556,3.4814814814814823,15.903703703703705,796.8592592592595,10.221788129226146,3355.9762962962973
22023,1626157,0022300069,2023-10-25,36,8,25,0.32,2,10,0.2,1,1,1.0,2,8,10,3,0,4,4,2,19,-1,1,2023-24,Regular Season,TOR,0,1,28.5,36.17283950617285,0.8024691358024691,99.91,0.5518748719349771,14.333333333333336,10.308641975308644,4.518518518518519,0.7037037037037037,3.3209876543209886,22.87037037037037,1030.925925925926,15.728433850146846,3614.028395061729
22023,1626157,0022300093,2023-10-28,31,5,12,0.417,1,4,0.25,1,2,0.5,0,10,10,2,1,0,1,3,12,6,1,2023-24,Regular Season,MIA,1,0,21.4,36.11522633744857,1.868312757201646,96.88,0.6333521679467994,17.88888888888889,10.20576131687243,3.679012345679013,0.4691358024691359,3.5473251028806594,39.98189300411522,772.8658436213993,13.553736394061506,3498.8431275720172
22023,1626157,0022300104,2023-10-30,36,7,17,0.412,1,3,0.333,1,1,1.0,2,8,10,3,1,0,0,2,16,-8,1,2023-24,Regular Season,ATL,0,0,27.1,34.410150891632384,1.2455418381344308,100.84,0.5181972283201085,15.925925925925927,10.137174211248286,3.4526748971193424,0.6460905349794239,2.6982167352537734,33.75418381344308,932.5150891632377,14.043144887474941,3469.91961591221
22023,1626157,0022300123,2023-11-01,31,7,19,0.368,1,4,0.25,6,6,1.0,2,6,8,4,2,0,1,2,21,22,1,2023-24,Regular Season,DEN,1,0,28.6,34.940100594421594,0.8303612254229539,97.43,0.4239795504437251,16.283950617283953,10.091449474165525,2.968449931412895,0.7640603566529494,1.7988111568358491,23.74833104709648,999.2868770004576,12.125815142690538,3404.214000914496
22023,1626157,0022300138,2023-11-04,32,7,14,0.5,2,6,0.333,9,10,0.9,0,7,7,1,2,0,2,4,25,24,1,2023-24,Regular Season,UTA,1,0,24.4,33.6267337296144,0.5535741502819693,100.26,0.34689235945395686,17.189300411522638,9.394299649443685,2.6456332876085966,1.176040237768633,1.5325407712238996,13.50720926688005,820.4923030025914,8.464173570676547,3371.41632373114
