TEAM_ABBR,RA_FGA,SEASON,SEASON_TYPE
GSW,22.8,2025-26,Regular Season
HOU,24.5,2025-26,Regular Season
IND,24.1,2025-26,Regular Season
,22.5,2025-26,Regular Season
LAL,22.4,2025-26,Regular Season
MEM,22.9,2025-26,Regular Season
MIA,26.9,2025-26,Regular Season
MIL,21.8,2025-26,Regular Season
MIN,26.1,2025-26,Regular Season
NOP,34.8,2025-26,Regular Season
NYK,25.2,2025-26,Regular Season
OKC,24.9,2025-26,Regular Season
ORL,27.6,2025-26,Regular Season
PHI,28.7,2025-26,Regular Season
PHX,21.1,2025-26,Regular Season
POR,28.6,2025-26,Regular Season
SAC,20.1,2025-26,Regular Season
SAS,28.0,2025-26,Regular Season
TOR,26.7,2025-26,Regular Season
UTA,23.5,2025-26,Regular Season
WAS,24.7,2025-26,Regular Season
ATL,24.0,2025-26,Playoffs
BOS,17.7,2025-26,Playoffs
CLE,21.0,2025-26,Playoffs
DEN,22.7,2025-26,Playoffs
DET,22.9,2025-26,Playoffs
HOU,24.0,2025-26,Playoffs
LAL,22.5,2025-26,Playoffs
MIN,29.4,2025-26,Playoffs
NYK,29.6,2025-26,Playoffs
OKC,21.7,2025-26,Playoffs
ORL,19.7,2025-26,Playoffs
PHI,21.5,2025-26,Playoffs
PHX,16.0,2025-26,Playoffs
POR,27.8,2025-26,Playoffs
SAS,29.1,2025-26,Playoffs
TOR,29.0,2025-26,Playoffs
