TEAM_ABBR,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,SEASON,SEASON_TYPE
SAC,16.1,23.4,0.687,9.4,19.4,0.482,3.5,8.8,0.399,2.2,5.7,0.388,1.6,4.3,0.382,10.5,29.2,0.36,0.0,0.1,0.0,2023-24,Regular Season
SAS,18.4,27.9,0.66,7.3,16.8,0.435,3.6,9.6,0.372,1.6,4.5,0.37,1.7,4.4,0.386,9.3,27.3,0.34,0.0,0.2,0.0,2023-24,Regular Season
TOR,19.2,28.5,0.675,7.8,18.9,0.412,3.8,9.2,0.406,1.7,4.3,0.385,1.6,4.4,0.369,8.2,24.2,0.339,0.0,0.1,0.0,2023-24,Regular Season
UTA,16.7,24.4,0.687,9.9,22.3,0.444,2.4,6.7,0.358,2.2,5.3,0.418,1.9,5.2,0.36,8.8,25.8,0.343,0.0,0.2,0.0,2023-24,Regular Season
WAS,19.9,28.5,0.697,7.5,18.9,0.399,3.2,8.4,0.377,1.6,4.4,0.377,1.6,4.0,0.392,9.1,27.0,0.339,0.0,0.2,0.063,2023-24,Regular Season
BOS,15.8,21.4,0.741,5.4,13.2,0.406,3.6,9.1,0.401,1.4,4.5,0.318,2.0,4.6,0.432,11.0,30.8,0.357,0.1,0.3,0.2,2023-24,Playoffs
CLE,17.0,26.1,0.652,6.9,15.6,0.444,3.2,8.9,0.355,0.7,2.7,0.25,0.5,2.9,0.171,9.2,26.8,0.342,0.0,0.4,0.0,2023-24,Playoffs
DAL,15.0,22.0,0.68,8.0,19.1,0.417,4.0,8.8,0.454,2.1,5.4,0.398,1.9,4.8,0.396,7.9,22.7,0.346,0.0,0.2,0.0,2023-24,Playoffs
DEN,16.8,26.1,0.645,7.4,16.7,0.445,4.2,10.8,0.385,1.8,4.8,0.362,1.5,4.0,0.375,7.2,22.3,0.321,0.1,0.4,0.2,2023-24,Playoffs
IND,17.5,25.9,0.677,8.1,16.6,0.489,6.9,13.0,0.529,1.3,3.6,0.355,2.1,4.7,0.438,8.9,24.3,0.366,0.0,0.2,0.0,2023-24,Playoffs
,11.7,23.2,0.504,9.3,19.3,0.483,2.8,8.0,0.354,1.0,4.8,0.207,2.7,4.7,0.571,8.2,22.2,0.368,0.0,0.0,0.0,2023-24,Playoffs
LAL,20.4,29.2,0.699,8.2,17.6,0.466,4.2,8.4,0.5,1.0,4.0,0.25,1.0,2.8,0.357,6.8,22.0,0.309,0.0,0.6,0.0,2023-24,Playoffs
MIA,9.6,12.2,0.787,11.2,25.8,0.434,3.6,9.2,0.391,1.2,3.4,0.353,1.4,3.6,0.389,8.6,26.8,0.321,0.0,0.2,0.0,2023-24,Playoffs
MIL,12.7,20.3,0.623,9.2,16.7,0.55,7.8,17.8,0.439,1.3,3.5,0.381,0.7,2.3,0.286,9.2,25.5,0.359,0.0,0.2,0.0,2023-24,Playoffs
MIN,16.8,26.3,0.638,6.3,15.4,0.411,4.0,8.7,0.46,2.2,5.3,0.417,1.7,5.1,0.329,7.8,22.0,0.355,0.0,0.2,0.0,2023-24,Playoffs
NOP,13.0,24.0,0.542,6.5,17.0,0.382,5.3,10.8,0.488,1.5,5.5,0.273,1.3,6.8,0.185,6.0,19.8,0.304,0.0,0.8,0.0,2023-24,Playoffs
NYK,15.5,26.5,0.583,7.5,17.8,0.418,4.9,11.7,0.421,1.2,3.8,0.32,1.3,3.8,0.347,9.3,23.8,0.39,0.1,0.3,0.25,2023-24,Playoffs
OKC,14.3,22.9,0.624,7.1,16.5,0.43,5.9,12.4,0.476,2.2,6.4,0.344,1.6,4.4,0.364,8.3,22.9,0.362,0.0,0.3,0.0,2023-24,Playoffs
ORL,14.0,25.4,0.551,4.9,13.1,0.37,6.1,12.1,0.506,1.1,3.3,0.348,1.4,5.6,0.256,7.7,24.4,0.316,0.0,0.0,0.0,2023-24,Playoffs
PHI,13.8,25.0,0.553,4.3,10.8,0.4,5.3,11.8,0.451,1.8,3.7,0.5,2.0,4.2,0.48,9.7,27.3,0.354,0.0,0.5,0.0,2023-24,Playoffs
PHX,15.3,24.8,0.616,4.5,12.3,0.367,6.0,12.8,0.471,1.3,3.0,0.417,0.5,2.5,0.2,7.8,20.3,0.383,0.0,0.3,0.0,2023-24,Playoffs
ATL,18.1,27.7,0.652,9.5,20.9,0.456,2.3,5.5,0.411,1.9,4.8,0.4,2.5,6.0,0.41,9.1,26.6,0.342,0.0,0.2,0.053,2024-25,Regular Season
