SEASON_ID,Player_ID,Game_ID,GAME_DATE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,OPP,HOME,Block_Stat,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,OPP_PACE,USAGE_PROXY,FG3A_RATE,FTA_RATE,REB_PER_MIN,PTS_PER_MIN,AST_PER_MIN
22022,1626157,0022200181,2022-11-11,26,4,9,0.444,1,4,0.25,4,4,1.0,4,6,10,4,0,0,1,6,13,-5,1,2022-23,Regular Season,MEM,0,0,19.3,29.6,0.65,9.9,21.8,0.455,2.5,6.4,0.393,2.1,5.3,0.387,1.2,3.6,0.349,8.7,25.1,0.346,0.0,0.2,0.067,101.5,11.76,0.4444444444444444,0.4444444444444444,0.38461538461538464,0.5,0.15384615384615385
22022,1626157,0022200193,2022-11-13,37,11,16,0.688,3,6,0.5,4,6,0.667,2,11,13,3,1,1,2,5,29,15,1,2022-23,Regular Season,CLE,0,1,18.5,27.0,0.686,7.9,17.6,0.447,3.6,9.0,0.398,1.4,3.9,0.363,1.5,4.2,0.372,8.6,23.4,0.369,0.0,0.1,0.0,96.27,20.64,0.375,0.375,0.35135135135135137,0.7837837837837838,0.08108108108108109
22022,1626157,0022200212,2022-11-16,36,10,15,0.667,2,5,0.4,8,8,1.0,1,4,5,5,1,0,2,3,30,12,1,2022-23,Regular Season,ORL,0,0,18.1,27.0,0.669,7.0,16.3,0.427,4.7,11.9,0.399,1.6,3.8,0.415,1.2,3.0,0.398,8.0,24.2,0.33,0.0,0.1,0.0,99.66,20.52,0.3333333333333333,0.5333333333333333,0.1388888888888889,0.8333333333333334,0.1388888888888889
22022,1626157,0022200237,2022-11-19,32,5,14,0.357,2,7,0.286,0,0,0.0,0,8,8,3,1,0,3,4,12,2,1,2022-23,Regular Season,PHI,0,0,16.6,25.5,0.653,7.3,16.3,0.447,4.3,9.4,0.454,1.7,4.6,0.376,1.9,4.5,0.425,9.0,23.4,0.385,0.0,0.2,0.0,97.44,17.0,0.5,0.0,0.25,0.375,0.09375
22022,1626157,0022200252,2022-11-21,34,8,15,0.533,2,8,0.25,7,8,0.875,1,7,8,9,1,1,3,6,25,14,1,2022-23,Regular Season,MIA,1,1,13.9,21.2,0.657,9.2,19.3,0.48,4.1,10.0,0.408,1.8,5.1,0.362,1.7,4.5,0.378,8.4,25.0,0.335,0.0,0.1,0.0,96.76,21.52,0.5333333333333333,0.5333333333333333,0.23529411764705882,0.7352941176470589,0.2647058823529412
22022,1626157,0022200262,2022-11-23,37,8,11,0.727,1,1,1.0,6,7,0.857,3,8,11,8,2,2,5,3,23,19,1,2022-23,Regular Season,IND,0,1,18.6,29.1,0.64,6.2,14.8,0.417,3.7,8.7,0.421,1.6,4.4,0.366,1.8,4.5,0.402,10.1,27.9,0.363,0.0,0.2,0.125,101.68,19.08,0.09090909090909091,0.6363636363636364,0.2972972972972973,0.6216216216216216,0.21621621621621623
22022,1626157,0022200272,2022-11-25,37,6,22,0.273,1,11,0.091,6,7,0.857,2,2,4,5,0,2,2,5,19,-4,1,2022-23,Regular Season,CHA,0,1,19.5,30.3,0.645,7.0,18.0,0.389,4.0,9.6,0.418,1.7,5.0,0.338,1.4,3.8,0.365,7.7,23.6,0.325,0.0,0.1,0.0,101.47,27.08,0.5,0.3181818181818182,0.10810810810810811,0.5135135135135135,0.13513513513513514
22022,1626157,0022200291,2022-11-27,31,8,14,0.571,1,5,0.2,4,4,1.0,0,4,4,4,2,0,6,4,21,-26,1,2022-23,Regular Season,GSW,1,0,14.9,21.3,0.7,7.5,15.8,0.475,4.1,9.9,0.413,1.8,4.9,0.368,1.8,4.1,0.43,13.0,33.9,0.385,0.0,0.3,0.043,102.54,21.759999999999998,0.35714285714285715,0.2857142857142857,0.12903225806451613,0.6774193548387096,0.12903225806451613
22022,1626157,0022200300,2022-11-28,22,2,6,0.333,0,1,0.0,4,6,0.667,1,1,2,4,0,0,3,3,8,-6,1,2022-23,Regular Season,WAS,0,0,17.3,24.0,0.72,8.3,19.2,0.432,5.3,12.0,0.442,1.7,4.2,0.41,1.2,3.1,0.385,8.3,24.2,0.343,0.0,0.2,0.125,99.16,11.64,0.16666666666666666,1.0,0.09090909090909091,0.36363636363636365,0.18181818181818182
22022,1626157,0022201090,2023-03-22,26,8,18,0.444,2,3,0.667,4,4,1.0,1,3,4,3,2,0,3,4,22,13,1,2022-23,Regular Season,ATL,1,0,18.0,27.1,0.665,9.1,20.0,0.455,6.7,14.7,0.457,1.7,4.7,0.361,1.4,3.8,0.37,7.7,22.0,0.349,0.0,0.1,0.0,101.56,22.76,0.16666666666666666,0.2222222222222222,0.15384615384615385,0.8461538461538461,0.11538461538461539
